adressetekst,kommunenummer,kommunenavn,postnummer,poststed,lat,lon,epsg
"Vestølheia ski og skiskytterarena, Vestølveien 599",4211,GJERSTAD,4980,GJERSTAD,58.868585602462936,8.916538732840195,EPSG:4258
Vestølveien 10,4211,GJERSTAD,4980,GJERSTAD,58.892401175756184,8.987020975461649,EPSG:4258
Vestølveien 101,4211,GJERSTAD,4980,GJERSTAD,58.89100695531017,8.965344969400372,EPSG:4258
Vestølveien 158,4211,GJERSTAD,4980,GJERSTAD,58.88920845089757,8.9633567192005,EPSG:4258
Vestølveien 180,4211,GJERSTAD,4980,GJERSTAD,58.887995136125504,8.960287153200063,EPSG:4258
Vestølveien 182,4211,GJERSTAD,4980,GJERSTAD,58.88771661888733,8.959923137344422,EPSG:4258
Vestølveien 197,4211,GJERSTAD,4980,GJERSTAD,58.887500326708945,8.957563898502384,EPSG:4258
Vestølveien 199,4211,GJERSTAD,4980,GJERSTAD,58.88755402808487,8.957008657955946,EPSG:4258
Vestølveien 2,4211,GJERSTAD,4980,GJERSTAD,58.89213198695139,8.989623801683077,EPSG:4258
Vestølveien 201,4211,GJERSTAD,4980,GJERSTAD,58.88753587482851,8.95643615680777,EPSG:4258
Vestølveien 217,4211,GJERSTAD,4980,GJERSTAD,58.88690661037234,8.954667361607337,EPSG:4258
Vestølveien 219,4211,GJERSTAD,4980,GJERSTAD,58.88734985034546,8.953507861080734,EPSG:4258
Vestølveien 221,4211,GJERSTAD,4980,GJERSTAD,58.8873693323993,8.94377150886701,EPSG:4258
Vestølveien 224,4211,GJERSTAD,4980,GJERSTAD,58.88626214696449,8.953153675205296,EPSG:4258
Vestølveien 225,4211,GJERSTAD,4980,GJERSTAD,58.8865196062364,8.952360491752835,EPSG:4258
Vestølveien 227,4211,GJERSTAD,4980,GJERSTAD,58.886923825191985,8.952585471543095,EPSG:4258
Vestølveien 231,4211,GJERSTAD,4980,GJERSTAD,58.886043398576724,8.951753950649543,EPSG:4258
Vestølveien 233,4211,GJERSTAD,4980,GJERSTAD,58.88576489633825,8.951494113751055,EPSG:4258
Vestølveien 239,4211,GJERSTAD,4980,GJERSTAD,58.885782302951476,8.950036830093339,EPSG:4258
Vestølveien 245,4211,GJERSTAD,4980,GJERSTAD,58.8861296477971,8.94301018693611,EPSG:4258
Vestølveien 246,4211,GJERSTAD,4980,GJERSTAD,58.884283219355495,8.95191252991536,EPSG:4258
